CID,CNAME,CITY,OID,ODATE,ONUM,OTAMT,PID,PNAME,PUPRICE,PQTY,SUPID,CAMPNAME,CAMPCONTACT,CAMPPHONE
16,Elizabeth-Brown,London,16,7/23/2012,542393,2464.8,24,Guaraná Fantástica,3.6,28,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
16,Elizabeth-Brown,London,16,7/23/2012,542393,2464.8,30,Nord-Ost Matjeshering,20.7,60,13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,(04721) 8713
16,Elizabeth-Brown,London,16,7/23/2012,542393,2464.8,74,Longlife Tofu,8,36,4,Tokyo Traders,Yoshi Nagase,(03) 3555-5011
17,Sven-Ottlieb,Aachen,17,7/24/2012,542394,724.5,2,Chang,15.2,35,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
17,Sven-Ottlieb,Aachen,17,7/24/2012,542394,724.5,41,Jack's New England Clam Chowder,7.7,25,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
18,Janine-Labrune,Nantes,18,7/25/2012,542395,1176,17,Alice Mutton,31.2,30,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
18,Janine-Labrune,Nantes,18,7/25/2012,542395,1176,70,Outback Lager,12,20,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
19,Ann-Devon,London,19,7/26/2012,542396,364.8,12,Queso Manchego La Pastora,30.4,12,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,(98) 598 76 54
20,Roland-Mendel,Graz,20,7/29/2012,542397,4031,40,Boston Crab Meat,14.7,50,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
20,Roland-Mendel,Graz,20,7/29/2012,542397,4031,59,Raclette Courdavault,44,70,28,Gai pâturage,Eliane Noz,38.76.98.06
20,Roland-Mendel,Graz,20,7/29/2012,542397,4031,76,Lakkalikööri,14.4,15,23,Karkki Oy,Anne Heikkonen,(953) 10956
21,Aria-Cruz,Sao Paulo,21,7/30/2012,542398,1101.2,29,Thüringer Rostbratwurst,99,10,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
21,Aria-Cruz,Sao Paulo,21,7/30/2012,542398,1101.2,72,Mozzarella di Giovanni,27.8,4,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
22,Diego-Roel,Madrid,22,7/31/2012,542399,676,33,Geitost,2,60,15,Norske Meierier,Beate Vileid,(0)2-953010
22,Diego-Roel,Madrid,22,7/31/2012,542399,676,72,Mozzarella di Giovanni,27.8,20,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
23,Martine-Rancé,Lille,23,8/1/2012,542400,1376,36,Inlagd Sill,15.2,30,17,Svensk Sjöföda AB,Michael Björn,08-123 45 67
23,Martine-Rancé,Lille,23,8/1/2012,542400,1376,43,Ipoh Coffee,36.8,25,20,Leka Trading,Chandra Leka,555-8787
24,Maria-Larsson,Bräcke,24,8/1/2012,542401,48,33,Geitost,2,24,15,Norske Meierier,Beate Vileid,(0)2-953010
25,Peter-Franken,München,25,8/2/2012,542402,1456,20,Sir Rodney's Marmalade,64.8,6,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
25,Peter-Franken,München,25,8/2/2012,542402,1456,31,Gorgonzola Telino,10,40,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
25,Peter-Franken,München,25,8/2/2012,542402,1456,72,Mozzarella di Giovanni,27.8,24,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
26,Carine-Schmitt,Nantes,26,8/5/2012,542403,2142.4,10,Ikura,24.8,24,4,Tokyo Traders,Yoshi Nagase,(03) 3555-5011
26,Carine-Schmitt,Nantes,26,8/5/2012,542403,2142.4,31,Gorgonzola Telino,10,15,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
26,Carine-Schmitt,Nantes,26,8/5/2012,542403,2142.4,33,Geitost,2,20,15,Norske Meierier,Beate Vileid,(0)2-953010
26,Carine-Schmitt,Nantes,26,8/5/2012,542403,2142.4,40,Boston Crab Meat,14.7,60,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
26,Carine-Schmitt,Nantes,26,8/5/2012,542403,2142.4,76,Lakkalikööri,14.4,33,23,Karkki Oy,Anne Heikkonen,(953) 10956
27,Paolo-Accorti,Torino,27,8/6/2012,542404,538.6,71,Flotemysost,17.2,20,15,Norske Meierier,Beate Vileid,(0)2-953010
27,Paolo-Accorti,Torino,27,8/6/2012,542404,538.6,72,Mozzarella di Giovanni,27.8,7,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
28,Lino-Rodriguez,Lisboa,28,8/7/2012,542405,307.2,24,Guaraná Fantástica,3.6,12,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
28,Lino-Rodriguez,Lisboa,28,8/7/2012,542405,307.2,59,Raclette Courdavault,44,6,28,Gai pâturage,Eliane Noz,38.76.98.06
29,Eduardo-Saavedra,Barcelona,29,8/8/2012,542406,420,10,Ikura,24.8,15,4,Tokyo Traders,Yoshi Nagase,(03) 3555-5011
29,Eduardo-Saavedra,Barcelona,29,8/8/2012,542406,420,13,Konbu,4.8,10,6,Mayumi's,Mayumi Ohno,(06) 431-7877
30,José-Pedro Freyre,Sevilla,30,8/9/2012,542407,1200.8,28,Rössle Sauerkraut,36.4,20,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
30,José-Pedro Freyre,Sevilla,30,8/9/2012,542407,1200.8,62,Tarte au sucre,39.4,12,29,Forêts d'érables,Chantal Goulet,(514) 555-2955
31,André-Fonseca,Campinas,31,8/12/2012,542408,1488.8,44,Gula Malacca,15.5,16,20,Leka Trading,Chandra Leka,555-8787
31,André-Fonseca,Campinas,31,8/12/2012,542408,1488.8,59,Raclette Courdavault,44,15,28,Gai pâturage,Eliane Noz,38.76.98.06
31,André-Fonseca,Campinas,31,8/12/2012,542408,1488.8,63,Vegie-spread,35.1,8,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
31,André-Fonseca,Campinas,31,8/12/2012,542408,1488.8,73,Röd Kaviar,12,25,17,Svensk Sjöföda AB,Michael Björn,08-123 45 67
32,Howard-Snyder,Eugene,32,8/13/2012,542409,468,17,Alice Mutton,31.2,15,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
33,Manuel-Pereira,Caracas,33,8/14/2012,542410,613.2,24,Guaraná Fantástica,3.6,12,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
33,Manuel-Pereira,Caracas,33,8/14/2012,542410,613.2,55,Pâté chinois,19.2,20,25,Ma Maison,Jean-Guy Lauzon,(514) 555-9022
33,Manuel-Pereira,Caracas,33,8/14/2012,542410,613.2,75,Rhönbräu Klosterbier,6.2,30,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
34,Mario-Pontes,Rio de Janeiro,34,8/14/2012,542411,86.5,19,Teatime Chocolate Biscuits,7.3,1,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
34,Mario-Pontes,Rio de Janeiro,34,8/14/2012,542411,86.5,24,Guaraná Fantástica,3.6,6,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
34,Mario-Pontes,Rio de Janeiro,34,8/14/2012,542411,86.5,35,Steeleye Stout,14.4,4,16,Bigfoot Breweries,Cheryl Saylor,(503) 555-9931
35,Carlos-Hernández,San Cristóbal,35,8/15/2012,542412,155.4,30,Nord-Ost Matjeshering,20.7,6,13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,(04721) 8713
35,Carlos-Hernández,San Cristóbal,35,8/15/2012,542412,155.4,57,Ravioli Angelo,15.6,2,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
36,Yoshi-Latimer,Elgin,36,8/16/2012,542413,1414.8,15,Genen Shouyu,12.4,20,6,Mayumi's,Mayumi Ohno,(06) 431-7877
36,Yoshi-Latimer,Elgin,36,8/16/2012,542413,1414.8,19,Teatime Chocolate Biscuits,7.3,18,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
36,Yoshi-Latimer,Elgin,36,8/16/2012,542413,1414.8,60,Camembert Pierrot,27.2,35,28,Gai pâturage,Eliane Noz,38.76.98.06
36,Yoshi-Latimer,Elgin,36,8/16/2012,542413,1414.8,72,Mozzarella di Giovanni,27.8,3,14,Formaggi Fortini s.r.l.,Elio Rossi,(0544) 60323
37,Patricia-McKenna,Cork,37,8/19/2012,542414,1452,27,Schoggi Schokolade,35.1,15,11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,(010) 9984510
37,Patricia-McKenna,Cork,37,8/19/2012,542414,1452,44,Gula Malacca,15.5,21,20,Leka Trading,Chandra Leka,555-8787
37,Patricia-McKenna,Cork,37,8/19/2012,542414,1452,60,Camembert Pierrot,27.2,20,28,Gai pâturage,Eliane Noz,38.76.98.06
37,Patricia-McKenna,Cork,37,8/19/2012,542414,1452,67,Laughing Lumberjack Lager,11.2,5,16,Bigfoot Breweries,Cheryl Saylor,(503) 555-9931
38,Helen-Bennett,Cowes,38,8/20/2012,542415,2179.2,1,Chai,14.4,45,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
38,Helen-Bennett,Cowes,38,8/20/2012,542415,2179.2,40,Boston Crab Meat,14.7,40,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
38,Helen-Bennett,Cowes,38,8/20/2012,542415,2179.2,53,Perth Pasties,26.2,36,24,G'day Mate,Wendy Mackenzie,(02) 555-5914
39,Philip-Cramer,Brandenburg,39,8/21/2012,542416,3016,35,Steeleye Stout,14.4,100,16,Bigfoot Breweries,Cheryl Saylor,(503) 555-9931
39,Philip-Cramer,Brandenburg,39,8/21/2012,542416,3016,62,Tarte au sucre,39.4,40,29,Forêts d'érables,Chantal Goulet,(514) 555-2955
40,Daniel-Tonini,Versailles,40,8/22/2012,542417,924,16,Pavlova,13.9,40,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
40,Daniel-Tonini,Versailles,40,8/22/2012,542417,924,34,Sasquatch Ale,11.2,20,16,Bigfoot Breweries,Cheryl Saylor,(503) 555-9931
40,Daniel-Tonini,Versailles,40,8/22/2012,542417,924,46,Spegesild,9.6,15,21,Lyngbysild,Niels Petersen,43844108
41,Annette-Roulet,Toulouse,41,8/23/2012,542418,89,54,Tourtière,5.9,10,25,Ma Maison,Jean-Guy Lauzon,(514) 555-9022
41,Annette-Roulet,Toulouse,41,8/23/2012,542418,89,68,Scottish Longbreads,10,3,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
42,Yoshi-Tannamuri,Vancouver,42,8/26/2012,542419,479.4,3,Aniseed Syrup,8,30,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
42,Yoshi-Tannamuri,Vancouver,42,8/26/2012,542419,479.4,64,Wimmers gute Semmelknödel,26.6,9,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
43,John-Steel,Walla Walla,43,8/27/2012,542420,2169,5,Chef Anton's Gumbo Mix,17,20,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
43,John-Steel,Walla Walla,43,8/27/2012,542420,2169,29,Thüringer Rostbratwurst,99,15,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
43,John-Steel,Walla Walla,43,8/27/2012,542420,2169,49,Maxilaku,16,15,23,Karkki Oy,Anne Heikkonen,(953) 10956
43,John-Steel,Walla Walla,43,8/27/2012,542420,2169,77,Original Frankfurter grüne Soße,10.4,10,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
44,Renate-Messner,Frankfurt a.M.,44,8/27/2012,542421,552.8,13,Konbu,4.8,20,6,Mayumi's,Mayumi Ohno,(06) 431-7877
44,Renate-Messner,Frankfurt a.M.,44,8/27/2012,542421,552.8,44,Gula Malacca,15.5,24,20,Leka Trading,Chandra Leka,555-8787
44,Renate-Messner,Frankfurt a.M.,44,8/27/2012,542421,552.8,51,Manjimup Dried Apples,42.4,2,24,G'day Mate,Wendy Mackenzie,(02) 555-5914
45,Jaime-Yorres,San Francisco,45,8/28/2012,542422,1296,20,Sir Rodney's Marmalade,64.8,20,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
46,Carlos-González,Barquisimeto,46,8/29/2012,542423,848.7,18,Carnarvon Tigers,50,12,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
46,Carlos-González,Barquisimeto,46,8/29/2012,542423,848.7,24,Guaraná Fantástica,3.6,10,10,Refrescos Americanas LTDA,Carlos Diaz,(11) 555 4640
46,Carlos-González,Barquisimeto,46,8/29/2012,542423,848.7,63,Vegie-spread,35.1,5,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
46,Carlos-González,Barquisimeto,46,8/29/2012,542423,848.7,75,Rhönbräu Klosterbier,6.2,6,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
47,Felipe-Izquierdo,I. de Margarita,47,8/30/2012,542424,1887.6,1,Chai,14.4,18,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
47,Felipe-Izquierdo,I. de Margarita,47,8/30/2012,542424,1887.6,17,Alice Mutton,31.2,15,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
47,Felipe-Izquierdo,I. de Margarita,47,8/30/2012,542424,1887.6,43,Ipoh Coffee,36.8,15,20,Leka Trading,Chandra Leka,555-8787
47,Felipe-Izquierdo,I. de Margarita,47,8/30/2012,542424,1887.6,60,Camembert Pierrot,27.2,21,28,Gai pâturage,Eliane Noz,38.76.98.06
47,Felipe-Izquierdo,I. de Margarita,47,8/30/2012,542424,1887.6,75,Rhönbräu Klosterbier,6.2,6,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
48,Fran-Wilson,Portland,48,9/2/2012,542425,121.6,56,Gnocchi di nonna Alice,30.4,4,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
49,Giovanni-Rovelli,Bergamo,49,9/3/2012,542426,1050.6,11,Queso Cabrales,16.8,12,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,(98) 598 76 54
49,Giovanni-Rovelli,Bergamo,49,9/3/2012,542426,1050.6,16,Pavlova,13.9,30,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
49,Giovanni-Rovelli,Bergamo,49,9/3/2012,542426,1050.6,69,Gudbrandsdalsost,28.8,15,15,Norske Meierier,Beate Vileid,(0)2-953010
50,Catherine-Dewey,Bruxelles,50,9/4/2012,542427,1420,39,Chartreuse verte,14.4,60,18,Aux joyeux ecclésiastiques,Guylène Nodier,(1) 03.83.00.68
51,Jean-Fresnière,Montréal,51,9/5/2012,542428,3127,2,Chang,15.2,40,1,Exotic Liquids,Charlotte Cooper,(171) 555-2222
51,Jean-Fresnière,Montréal,51,9/5/2012,542428,3127,36,Inlagd Sill,15.2,40,17,Svensk Sjöföda AB,Michael Björn,08-123 45 67
51,Jean-Fresnière,Montréal,51,9/5/2012,542428,3127,59,Raclette Courdavault,44,30,28,Gai pâturage,Eliane Noz,38.76.98.06
51,Jean-Fresnière,Montréal,51,9/5/2012,542428,3127,62,Tarte au sucre,39.4,15,29,Forêts d'érables,Chantal Goulet,(514) 555-2955
52,Alexander-Feuer,Leipzig,52,9/6/2012,542429,349.5,19,Teatime Chocolate Biscuits,7.3,15,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
52,Alexander-Feuer,Leipzig,52,9/6/2012,542429,349.5,70,Outback Lager,12,20,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
53,Simon-Crowther,London,53,9/9/2012,542430,608,66,Louisiana Hot Spiced Okra,13.6,30,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
53,Simon-Crowther,London,53,9/9/2012,542430,608,68,Scottish Longbreads,10,20,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
54,Yvonne-Moncada,Buenos Aires,54,9/9/2012,542431,755,40,Boston Crab Meat,14.7,10,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
54,Yvonne-Moncada,Buenos Aires,54,9/9/2012,542431,755,56,Gnocchi di nonna Alice,30.4,20,26,Pasta Buttini s.r.l.,Giovanni Giudici,(089) 6547665
55,Rene-Phillips,Anchorage,55,9/10/2012,542432,2708.8,17,Alice Mutton,31.2,40,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
55,Rene-Phillips,Anchorage,55,9/10/2012,542432,2708.8,28,Rössle Sauerkraut,36.4,28,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
55,Rene-Phillips,Anchorage,55,9/10/2012,542432,2708.8,43,Ipoh Coffee,36.8,12,20,Leka Trading,Chandra Leka,555-8787
56,Henriette-Pfalzheim,Köln,56,9/11/2012,542433,1242,40,Boston Crab Meat,14.7,40,19,New England Seafood Cannery,Robb Merchant,(617) 555-3267
56,Henriette-Pfalzheim,Köln,56,9/11/2012,542433,1242,65,Louisiana Fiery Hot Pepper Sauce,16.8,30,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
56,Henriette-Pfalzheim,Köln,56,9/11/2012,542433,1242,68,Scottish Longbreads,10,15,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
57,Marie-Bertrand,Paris,57,9/12/2012,542434,954.4,49,Maxilaku,16,30,23,Karkki Oy,Anne Heikkonen,(953) 10956
57,Marie-Bertrand,Paris,57,9/12/2012,542434,954.4,59,Raclette Courdavault,44,10,28,Gai pâturage,Eliane Noz,38.76.98.06
57,Marie-Bertrand,Paris,57,9/12/2012,542434,954.4,71,Flotemysost,17.2,2,15,Norske Meierier,Beate Vileid,(0)2-953010
58,Guillermo-Fernández,México D.F.,58,9/13/2012,542435,4157,18,Carnarvon Tigers,50,25,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
58,Guillermo-Fernández,México D.F.,58,9/13/2012,542435,4157,29,Thüringer Rostbratwurst,99,25,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,(069) 992755
58,Guillermo-Fernández,México D.F.,58,9/13/2012,542435,4157,39,Chartreuse verte,14.4,30,18,Aux joyeux ecclésiastiques,Guylène Nodier,(1) 03.83.00.68
59,Georg-Pipps,Salzburg,59,9/16/2012,542436,498.5,30,Nord-Ost Matjeshering,20.7,10,13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,(04721) 8713
59,Georg-Pipps,Salzburg,59,9/16/2012,542436,498.5,53,Perth Pasties,26.2,10,24,G'day Mate,Wendy Mackenzie,(02) 555-5914
59,Georg-Pipps,Salzburg,59,9/16/2012,542436,498.5,54,Tourtière,5.9,5,25,Ma Maison,Jean-Guy Lauzon,(514) 555-9022
60,Isabel-de Castro,Lisboa,60,9/17/2012,542437,424,62,Tarte au sucre,39.4,10,29,Forêts d'érables,Chantal Goulet,(514) 555-2955
60,Isabel-de Castro,Lisboa,60,9/17/2012,542437,424,68,Scottish Longbreads,10,3,8,Specialty Biscuits Ltd.,Peter Wilson,(161) 555-4448
61,Bernardo-Batista,Rio de Janeiro,61,9/18/2012,542438,88.8,69,Gudbrandsdalsost,28.8,1,15,Norske Meierier,Beate Vileid,(0)2-953010
61,Bernardo-Batista,Rio de Janeiro,61,9/18/2012,542438,88.8,70,Outback Lager,12,5,7,Pavlova Ltd.,Ian Devling,(03) 444-2343
62,Lúcia-Carvalho,Sao Paulo,62,9/19/2012,542439,1762,4,Chef Anton's Cajun Seasoning,17.6,20,2,New Orleans Cajun Delights,Shelley Burke,(100) 555-4822
62,Lúcia-Carvalho,Sao Paulo,62,9/19/2012,542439,1762,6,Grandma's Boysenberry Spread,20,30,3,Grandma Kelly's Homestead,Regina Murphy,(313) 555-5735
62,Lúcia-Carvalho,Sao Paulo,62,9/19/2012,542439,1762,42,Singaporean Hokkien Fried Mee,11.2,2,20,Leka Trading,Chandra Leka,555-8787
62,Lúcia-Carvalho,Sao Paulo,62,9/19/2012,542439,1762,43,Ipoh Coffee,36.8,20,20,Leka Trading,Chandra Leka,555-8787
62,Lúcia-Carvalho,Sao Paulo,62,9/19/2012,542439,1762,71,Flotemysost,17.2,3,15,Norske Meierier,Beate Vileid,(0)2-953010
